model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
SVM,augmented_mixed,slang_teencode,before_norm,0.6151815009102477,0.8537425149700599,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,mixed_noise,before_norm,0.5902786387804179,0.8414670658682635,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,mixed_noise,before_norm,0.5806364553057641,0.8320359281437125,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,original,clean,before_norm,0.4810628827399822,0.6476047904191616,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,clean,before_norm,0.4649504757739659,0.6199101796407186,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,no_accent,before_norm,0.2695052951864873,0.3139221556886227,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,no_accent,before_norm,0.2531916380454736,0.2889221556886227,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,repeated_char,before_norm,0.3430526500055288,0.3962574850299401,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,repeated_char,before_norm,0.4625340183224602,0.6164670658682635,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,special_char,before_norm,0.3833943515676052,0.4471556886227545,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,special_char,before_norm,0.4643712610779271,0.6175149700598802,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,masked_word,before_norm,0.4020298696499431,0.4809880239520958,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,masked_word,before_norm,0.4038301914910422,0.4932634730538922,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
